frame,p1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,p1_up,p1_down,p1_left,p1_right,p1_select,p1_start,p1_Y,p1_B,p1_X,p1_A,p1_L,p1_R,p2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,p2_up,p2_down,p2_left,p2_right,p2_select,p2_start,p2_Y,p2_B,p2_X,p2_A,p2_L,p2_R,timer,round_started,round_over,fight_result
0,4,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
1,4,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
2,4,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
3,4,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
4,4,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
5,4,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
6,4,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
7,4,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
8,4,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
9,4,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
10,4,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
